Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,1st phase - general contingent,2,Social Service,daytime,Secondary education,117.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,110.0,Yes,No,Yes,No,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,4,Management,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",118.0,Yes,No,No,Yes,Female,No,19,No,0,5,7,5,13.6,0,0,5,6,5,12.2,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,141.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.4,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,15.5,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,3,Basic Education,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,113.6,No,No,No,Yes,Female,No,19,No,0,7,7,7,13.85714286,0,0,7,7,7,14.28571429,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,2,Management,daytime,Secondary education,118.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,113.5,Yes,No,Yes,Yes,Female,No,20,No,0,5,10,2,11.5,0,0,5,8,3,10.0,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,3,Communication Design,daytime,Secondary education,142.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",146.9,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.0,0,0,6,6,6,12.16666667,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,143.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,141.3,No,No,Yes,No,Female,No,23,No,0,6,10,6,14.0,0,0,6,11,4,13.0,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,4,Journalism and Communication,daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",129.7,Yes,No,No,Yes,Female,No,20,No,0,4,4,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,5,Communication Design,daytime,Secondary education,123.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,121.3,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,11.16666667,0,0,6,9,6,11.5,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,115.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,109.1,Yes,No,Yes,No,Female,Yes,22,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,2,Basic Education,daytime,Secondary education,112.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",107.1,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,12.14285714,0,0,7,9,6,13.66666667,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,129.2,No,No,No,Yes,Female,Yes,18,No,0,7,7,7,14.14571429,0,0,8,9,8,13.62777778,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,162.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,154.1,No,No,No,Yes,Female,No,18,No,0,7,7,7,14.45,0,0,8,9,8,14.14444444,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,143.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Administrative staff,Administrative staff,147.2,No,No,No,Yes,Female,No,18,No,0,7,7,7,15.71428571,0,0,7,7,7,15.0,0,11.1,0.6,2.02,Graduate
single,Change of institution/course,1,Management,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120.0,No,No,No,Yes,Female,No,21,No,0,5,9,5,12.8,0,0,5,11,3,12.66666667,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",130.8,No,No,No,Yes,Female,No,20,No,0,6,6,6,12.5,0,0,6,8,6,11.5,0,10.8,1.4,1.74,Enrolled
single,1st phase - special contingent (Madeira Island),1,Communication Design,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120.8,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.5,0,0,6,6,6,12.83333333,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",125.4,Yes,No,No,No,Female,Yes,20,No,0,7,7,7,13.46285714,0,0,8,10,7,13.16428571,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,123.0,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Other Situation,121.3,Yes,No,No,Yes,Female,No,25,No,0,6,6,6,12.83333333,0,0,6,6,6,12.83333333,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,Management,daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.0,Yes,No,No,Yes,Female,Yes,18,No,0,5,10,5,12.0,0,0,5,8,4,11.6,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,147.0,Portuguese,Other - 11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,151.6,Yes,No,No,Yes,Female,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,140.0,Spanish,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",131.6,Yes,No,No,Yes,Female,No,20,Yes,0,7,9,6,14.71428571,0,1,7,16,6,13.2,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,2,Social Service,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,106.0,Yes,No,No,Yes,Female,Yes,20,No,0,6,7,6,12.57142857,0,0,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
single,3rd phase - general contingent,4,Journalism and Communication,daytime,Secondary education,114.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,111.6,Yes,No,No,Yes,Female,Yes,21,No,0,6,6,6,12.5,0,0,6,6,6,11.5,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,3,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,117.3,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,14.0,0,0,6,9,5,14.0,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,1,Basic Education,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",121.4,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,11.57142857,0,0,7,9,6,13.16666667,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,3,Communication Design,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",126.1,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,15.83333333,0,0,6,6,6,15.33333333,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,148.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",137.0,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.25,0,0,8,8,8,14.25,0,9.4,-0.8,-3.12,Graduate
single,Change of course,1,Advertising and Marketing Management,daytime,Secondary education,139.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",120.8,No,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,1,Tourism,daytime,Secondary education,136.0,Portuguese,Technological specialization course,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,128.7,Yes,No,No,Yes,Female,No,20,No,0,6,8,6,11.66666667,0,0,6,10,6,11.0,0,13.9,-0.3,0.79,Dropout
single,Over 23 years old,1,Social Service,daytime,12th year of schooling - not completed,133.1,Portuguese,Unknown,Unknown,Student,Student,118.0,No,No,No,Yes,Female,No,47,No,0,6,12,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change of course,1,Equinculture,daytime,Secondary education,120.0,Spanish,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,120.0,No,No,Yes,Yes,Female,No,21,Yes,2,5,9,5,13.2,2,0,5,7,2,12.5,2,10.8,1.4,1.74,Enrolled
married,Over 23 years old,1,Equinculture,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",160.0,No,No,No,Yes,Male,No,31,No,1,6,11,2,12.0,1,1,6,12,1,10.0,1,16.2,0.3,-0.92,Dropout
married,Over 23 years old,1,Informatics Engineering,daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,"Personal Services, Security and Safety Workers and Sellers",150.0,Yes,No,No,Yes,Male,No,46,No,0,5,6,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,3,Informatics Engineering,daytime,Secondary education,133.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,121.8,Yes,No,No,Yes,Male,No,18,No,0,5,9,4,12.0,0,0,5,10,2,11.0,0,8.9,1.4,3.51,Enrolled
single,2nd phase - general contingent,3,Informatics Engineering,daytime,Secondary education,138.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Administrative staff,125.4,Yes,Yes,No,Yes,Male,No,19,No,0,5,10,3,13.33333333,0,0,5,9,4,10.75,0,8.9,1.4,3.51,Dropout
single,Change of institution/course,1,Oral Hygiene,daytime,Secondary education,131.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,sellers,"Unskilled workers in extractive industry, construction, manufacturing and transport",126.6,Yes,No,No,Yes,Male,No,23,No,0,7,11,5,12.41428571,0,0,7,13,2,13.5,0,8.9,1.4,3.51,Enrolled
single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization course,150.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,150.0,No,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,Management,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Armed Forces Professions,114.5,Yes,No,No,Yes,Male,No,19,No,0,5,5,5,13.8,0,0,5,7,5,12.4,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,Management,daytime,Secondary education,108.0,Brazilian,Higher Education - Degree,Higher Education - Degree,Unskilled Workers,Unskilled Workers,107.0,No,No,Yes,No,Female,No,19,Yes,0,5,14,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
single,2nd phase - general contingent,1,Management,daytime,Secondary education,116.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,115.7,No,No,No,No,Male,No,22,No,0,5,10,4,11.5,0,0,5,11,4,14.0,0,8.9,1.4,3.51,Enrolled
single,Over 23 years old,1,Equinculture,daytime,Secondary education,133.1,Portuguese,Higher Education - Degree,Unknown,Intermediate Level Technicians and Professions,Student,120.0,No,No,Yes,No,Male,No,29,No,0,5,11,0,0.0,4,0,5,6,0,0.0,1,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,3,Nursing,daytime,Secondary education,147.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.8,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,14.01666667,0,0,7,7,6,14.01666667,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,143.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,Unskilled Workers,Unskilled Workers,133.6,Yes,No,No,Yes,Female,No,18,No,0,6,9,5,11.4,0,0,6,8,5,10.8,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,115.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,129.0,Yes,No,Yes,No,Female,Yes,23,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Meal preparation assistants,Intermediate level science and engineering technicians and professions,128.4,No,No,No,Yes,Female,No,34,No,0,5,12,5,10.4,0,0,5,11,5,12.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,1,Management,daytime,Secondary education,118.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,122.2,No,No,No,Yes,Female,No,19,No,0,5,11,3,10.66666667,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",113.3,Yes,No,No,Yes,Female,No,18,No,0,5,9,4,14.25,0,0,5,8,5,12.71428571,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,129.9,No,No,No,Yes,Female,Yes,20,No,3,7,7,7,13.91428571,0,5,8,8,8,14.10625,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,6,Nursing,daytime,Secondary education,133.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",126.2,Yes,No,No,Yes,Female,No,19,No,0,7,9,7,13.76111111,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,Graduate
single,1st phase - special contingent (Azores Island),2,Basic Education,daytime,Secondary education,122.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",112.6,Yes,No,No,Yes,Female,No,22,No,0,6,10,5,12.6,0,0,6,9,4,11.25,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,164.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,149.0,Yes,No,No,Yes,Female,Yes,23,No,0,6,7,6,13.85714286,0,0,6,6,6,14.16666667,0,10.8,1.4,1.74,Graduate
married,Over 23 years old,1,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Male,Yes,34,No,0,8,8,7,13.84285714,0,0,8,8,7,13.84285714,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,4,Informatics Engineering,daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120.4,Yes,No,Yes,No,Male,No,18,No,0,5,12,0,0.0,0,0,5,8,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,3,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Technological specialization course,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",128.1,Yes,Yes,No,Yes,Male,No,21,No,0,6,6,5,11.8,0,0,6,9,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,141.7,Yes,No,No,Yes,Male,No,22,No,0,6,6,6,12.66666667,0,0,6,6,6,13.83333333,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Agronomy,daytime,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,130.0,No,No,No,Yes,Male,No,28,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
single,1st phase - special contingent (Azores Island),4,Informatics Engineering,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",113.3,Yes,No,No,Yes,Male,No,23,No,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,108.0,Portuguese,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,Intermediate Level Technicians and Professions,105.9,No,No,No,Yes,Male,No,20,No,0,6,11,4,10.75,0,0,6,13,2,10.0,0,7.6,2.6,0.32,Dropout
single,3rd phase - general contingent,2,Informatics Engineering,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,122.7,Yes,No,No,Yes,Male,No,18,No,0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,Dropout
single,Over 23 years old,2,Management,daytime,Other - 11th year of schooling,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,Yes,No,Yes,No,Male,No,28,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Technological specialization diploma holders,1,Communication Design,daytime,Technological specialization course,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,119.8,No,No,No,Yes,Male,No,21,No,2,7,7,2,12.0,0,5,9,10,7,12.14285714,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Advertising and Marketing Management,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,122.9,No,No,Yes,No,Male,No,25,No,0,6,7,3,14.0,0,0,6,9,2,14.5,0,13.9,-0.3,0.79,Dropout
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,160.0,Yes,Yes,No,No,Male,No,19,No,2,6,6,6,14.0,0,1,6,11,6,13.5,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,128.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,125.2,Yes,No,No,Yes,Male,Yes,18,No,0,7,7,7,14.68285714,0,0,8,9,8,15.05555556,0,12.4,0.5,1.79,Graduate
single,Over 23 years old,1,Informatics Engineering,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Other Situation,143.4,No,No,No,Yes,Male,No,29,No,0,3,3,0,0.0,3,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",96.7,No,No,No,Yes,Male,Yes,29,No,0,5,6,0,0.0,0,0,5,7,0,0.0,0,12.4,0.5,1.79,Dropout
single,3rd phase - general contingent,1,Tourism,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",126.9,No,No,No,Yes,Male,No,20,No,0,6,7,6,13.85714286,0,0,6,7,5,12.8,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,163.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",143.1,No,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,Tourism,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,cleaning workers,"Unskilled workers in extractive industry, construction, manufacturing and transport",114.5,No,No,No,Yes,Male,No,20,No,0,6,8,6,13.14285714,0,0,6,7,6,12.5,0,8.9,1.4,3.51,Graduate
married,Over 23 years old,1,Informatics Engineering,daytime,Secondary education,120.0,Portuguese,Unknown,Unknown,Student,Student,140.0,Yes,No,No,Yes,Male,No,33,No,0,5,14,1,18.0,0,0,5,9,2,13.0,0,9.4,-0.8,-3.12,Dropout
single,Transfer,1,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",113.7,No,No,No,Yes,Male,No,30,No,11,15,15,13,11.46153846,0,6,11,15,10,11.58333333,1,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Oral Hygiene,daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",131.5,No,No,No,Yes,Male,Yes,21,No,0,7,14,5,11.2,0,0,8,11,6,11.58333333,0,16.2,0.3,-0.92,Enrolled
